date,nav
2019-01-02,99.8588
2019-01-03,99.6833
2019-01-04,99.5818
2019-01-07,100.4523
2019-01-08,100.3304
2019-01-09,98.5595
2019-01-10,98.9838
2019-01-11,98.6977
2019-01-14,98.4721
2019-01-15,98.6403
2019-01-16,98.9465
2019-01-17,100.3595
2019-01-18,101.1822
2019-01-21,101.3485
2019-01-22,100.4827
2019-01-23,99.2911
2019-01-24,99.6162
2019-01-25,101.2151
2019-01-28,101.2978
2019-01-29,101.2007
2019-01-30,101.8786
2019-01-31,100.1339
2019-02-01,99.7905
2019-02-04,100.4094
2019-02-05,101.4936
2019-02-06,101.2328
2019-02-07,101.7224
2019-02-08,102.0577
2019-02-11,103.0482
2019-02-12,101.7043
2019-02-13,102.4301
2019-02-14,100.6011
2019-02-15,97.4702
2019-02-18,96.7913
2019-02-19,95.7583
2019-02-20,96.7953
2019-02-21,97.5976
2019-02-22,96.2008
2019-02-25,97.2096
2019-02-26,96.0714
2019-02-27,96.0024
2019-02-28,95.6943
2019-03-01,95.8561
2019-03-04,96.8282
2019-03-05,97.6007
2019-03-06,98.0415
2019-03-07,98.8373
2019-03-08,99.4362
2019-03-11,98.7196
2019-03-12,97.9011
2019-03-13,97.3801
2019-03-14,97.9945
2019-03-15,97.7315
2019-03-18,100.5018
2019-03-19,99.5456
2019-03-20,98.2646
2019-03-21,99.2019
2019-03-22,100.9260
2019-03-25,101.5705
2019-03-26,102.6215
2019-03-27,104.4106
2019-03-28,104.3259
2019-03-29,102.5776
2019-04-01,101.9552
2019-04-02,103.1534
2019-04-03,101.3991
2019-04-04,101.4721
2019-04-05,101.8127
2019-04-08,101.4594
2019-04-09,102.3727
2019-04-10,103.1186
2019-04-11,106.0239
2019-04-12,106.8464
2019-04-15,106.0990
2019-04-16,105.4174
2019-04-17,104.3989
2019-04-18,105.6250
2019-04-19,104.9401
2019-04-22,104.8849
2019-04-23,105.8613
2019-04-24,104.9759
2019-04-25,104.6393
2019-04-26,102.3604
2019-04-29,101.0633
2019-04-30,100.4069
2019-05-01,100.9397
2019-05-02,102.4174
2019-05-03,102.4272
2019-05-06,102.7809
2019-05-07,103.0207
2019-05-08,104.3945
2019-05-09,105.5467
2019-05-10,105.9269
2019-05-13,104.6755
2019-05-14,105.8435
2019-05-15,106.3610
2019-05-16,107.9608
2019-05-17,107.9563
2019-05-20,110.5208
2019-05-21,110.0799
2019-05-22,112.2192
2019-05-23,112.4099
2019-05-24,111.7492
2019-05-27,110.2714
2019-05-28,110.1066
2019-05-29,112.0221
2019-05-30,113.1551
2019-05-31,114.1264
2019-06-03,110.9089
2019-06-04,111.8903
2019-06-05,112.6721
2019-06-06,111.9644
2019-06-07,111.1570
2019-06-10,111.1892
2019-06-11,113.5259
2019-06-12,112.1246
2019-06-13,111.5846
2019-06-14,113.4435
2019-06-17,112.8721
2019-06-18,112.4146
2019-06-19,112.5822
2019-06-20,110.9410
2019-06-21,111.2690
2019-06-24,109.6892
2019-06-25,110.8892
2019-06-26,110.9286
2019-06-27,114.0034
2019-06-28,114.4238
2019-07-01,116.3353
2019-07-02,114.5529
2019-07-03,114.4213
2019-07-04,114.9014
2019-07-05,117.3449
2019-07-08,115.0152
2019-07-09,116.4189
2019-07-10,117.2820
2019-07-11,119.4775
2019-07-12,120.5368
2019-07-15,120.6504
2019-07-16,119.9335
2019-07-17,118.1752
2019-07-18,118.4898
2019-07-19,118.2548
2019-07-22,121.1593
2019-07-23,120.3093
2019-07-24,120.8101
2019-07-25,118.5738
2019-07-26,118.0488
2019-07-29,118.4562
2019-07-30,119.6650
2019-07-31,121.7825
2019-08-01,121.7566
2019-08-02,120.1629
2019-08-05,120.8612
2019-08-06,121.6494
2019-08-07,122.4057
2019-08-08,121.4160
2019-08-09,123.1058
2019-08-12,123.2748
2019-08-13,124.3492
2019-08-14,126.2898
2019-08-15,127.2532
2019-08-16,127.7311
2019-08-19,131.0714
2019-08-20,131.4964
2019-08-21,131.0711
2019-08-22,131.2888
2019-08-23,133.6665
2019-08-26,133.8994
2019-08-27,134.7764
